epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.128,0.9423,3.04056,1.1004,0.25318,0.40912,0.30365,0.24111,0.91889,4.03879,1.07897,0.000237899,0.000237899,0.000237899
2,508.472,0.85929,2.07351,1.06569,0.45342,0.65233,0.56107,0.44368,0.85204,5.43137,1.04464,0.000240329,0.000240329,0.000240329
